"","x"
"1",1254
"2",824
"3",828
"4",834
"5",825
"6",829
"7",944
"8",839
"9",849
"10",840
"11",1253
"12",843
"13",835
"14",833
"15",822
"16",942
"17",850
"18",455
"19",831
"20",827
"21",925
"22",848
"23",842
"24",845
"25",456
"26",953
"27",15
"28",656
"29",193
"30",651
"31",513
"32",501
"33",231
"34",488
"35",127
"36",257
"37",971
